IdUser GenreFilm Like/Dislike Day KindOfDay Season Time 
1 Animation Yes lundi Normal Automne Matin
1 Comedy No mercredi Normal Automne Matin
1 Drama Yes lundi Normal Automne Matin
1 Action No lundi Normal Automne Matin
1 Comedy Yes lundi Normal Automne Matin
1 Drama Yes mercredi Normal Automne Matin
1 Drama Yes mercredi Normal Automne Nuit
1 Drama Yes lundi Normal Automne Matin
1 Action Yes lundi Normal Automne Soir
1 Drama Yes mercredi Normal Automne Nuit
1 Drama Yes lundi Normal Automne Matin
1 Crime Yes vendredi Vacance Printemp Nuit
1 Drama Yes lundi Normal Automne Matin
1 Comedy Yes mercredi Normal Automne Nuit
1 Crime Yes lundi Normal Automne Soir
1 Drama Yes vendredi Vacance Automne Nuit
1 Comedy No lundi Normal Automne Matin
1 Documentary Yes lundi Normal Automne Matin
1 Crime No mercredi Normal Automne Nuit
1 Action No mercredi Normal Automne Nuit
1 Adventure No lundi Normal Automne Matin
1 Drama Yes mercredi Normal Automne Nuit
1 Action Yes lundi Normal Automne Soir
1 Comedy Yes lundi Normal Automne Matin
1 Action Yes mercredi Normal Automne Nuit
1 Children's No mercredi Normal Automne Matin
1 Comedy Yes vendredi Vacance Automne Nuit
1 Documentary Yes mercredi Normal Automne Nuit
1 Comedy Yes mercredi Normal Automne Nuit
1 Comedy Yes mercredi Normal Automne Nuit
1 Action Yes mercredi Normal Automne Matin
1 Comedy Yes mercredi Normal Automne Matin
1 Action No lundi Normal Automne Matin
1 Comedy Yes lundi Normal Automne Soir
1 Comedy Yes mercredi Normal Automne Nuit
1 Drama Yes mercredi Normal Automne Nuit
1 Action Yes mercredi Normal Automne Matin
1 Action No mercredi Normal Automne Matin
1 Western Yes lundi Normal Automne Matin
1 Crime Yes mercredi Normal Automne Nuit
1 Comedy Yes mercredi Normal Automne Matin
1 Children's Yes lundi Normal Automne Matin
1 Animation Yes mercredi Normal Automne Nuit
1 Drama Yes mercredi Normal Automne Nuit
1 Drama No lundi Normal Automne Matin
1 Drama Yes lundi Normal Automne Matin
1 Drama Yes lundi Normal Automne Soir
1 Comedy Yes lundi Normal Automne Matin
1 Thriller Yes lundi Normal Automne Matin
1 Drama Yes mercredi Normal Automne Nuit
1 Animation Yes mercredi Normal Automne Nuit
1 Horror Yes mercredi Normal Automne Matin
1 Drama Yes lundi Normal Automne Matin
1 Adventure No lundi Normal Automne Matin
1 Comedy Yes mercredi Normal Automne Matin
1 Drama No mercredi Normal Automne Nuit
1 Comedy Yes mercredi Normal Automne Nuit
1 Action No mercredi Normal Automne Matin
1 Comedy Yes mercredi Normal Automne Nuit
1 Thriller Yes lundi Normal Automne Matin
1 Action Yes mercredi Normal Automne Nuit
1 Action No samedi Vacance Hiver Soir
1 Drama Yes mercredi Normal Automne Nuit
1 Action No lundi Normal Automne Matin
1 Drama Yes samedi Vacance Hiver Soir
1 Drama Yes mercredi Normal Automne Matin
1 Drama Yes mercredi Normal Automne Nuit
1 Comedy Yes vendredi Vacance Printemp Nuit
1 Drama Yes mercredi Normal Automne Nuit
1 Comedy Yes lundi Normal Automne Matin
1 Comedy Yes mercredi Normal Automne Nuit
1 Action Yes mercredi Normal Automne Nuit
1 Action Yes lundi Normal Automne Soir
1 Comedy Yes vendredi Vacance Automne Nuit
1 Comedy Yes lundi Normal Automne Matin
1 Children's No mercredi Normal Automne Nuit
